,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
218,2018-12-12,1663.54,1669.0,1704.99,1660.27,6.6,12,2018,0.0031114702299834818,Slight or No change
219,2018-12-11,1643.24,1678.0,1679.47,1619.6,6.24,12,2018,-0.012202892626567374,Slight or No change
220,2018-12-10,1641.03,1623.84,1657.99,1590.87,7.49,12,2018,-0.0013449039702052579,Slight or No change
221,2018-12-07,1629.13,1705.07,1718.93,1625.46,7.58,12,2018,-0.007251543238088187,Slight or No change
222,2018-12-06,1699.19,1614.87,1701.05,1609.85,8.79,12,2018,0.04300454843996482,Slight or No change
223,2018-12-04,1668.4,1756.0,1770.34,1665.0,8.69,12,2018,-0.018120398542835092,Slight or No change
224,2018-12-03,1772.36,1769.46,1778.34,1730.0,6.86,12,2018,0.062311196355789855,Slight or No change
225,2018-11-30,1690.17,1679.5,1696.0,1666.5,5.76,11,2018,-0.04637319731882905,Slight or No change
226,2018-11-29,1673.57,1674.99,1689.99,1652.33,6.61,11,2018,-0.00982149724583925,Slight or No change
227,2018-11-28,1677.75,1613.92,1681.45,1601.21,8.46,11,2018,0.002497654714173958,Slight or No change
228,2018-11-27,1581.42,1575.99,1597.65,1558.01,5.78,11,2018,-0.057416182387125536,Slight or No change
229,2018-11-26,1581.33,1539.0,1584.81,1524.22,6.26,11,2018,-5.691087756587443e-05,Slight or No change
230,2018-11-23,1502.06,1517.0,1536.2,1501.81,2.71,11,2018,-0.05012868914141888,Slight or No change
231,2018-11-21,1516.73,1542.99,1550.0,1515.0,5.72,11,2018,0.009766587220217726,Slight or No change
232,2018-11-20,1495.46,1437.5,1534.75,1420.0,10.88,11,2018,-0.014023590223704918,Slight or No change
233,2018-11-19,1512.29,1577.01,1581.19,1503.36,7.79,11,2018,0.01125406229521353,Slight or No change
234,2018-11-16,1593.41,1587.5,1614.48,1573.12,6.07,11,2018,0.0536405054586091,Slight or No change
235,2018-11-15,1619.44,1581.01,1624.82,1546.51,8.43,11,2018,0.016336034040203007,Slight or No change
236,2018-11-14,1599.01,1656.32,1673.0,1597.07,6.49,11,2018,-0.01261547201501756,Slight or No change
237,2018-11-13,1631.17,1649.29,1677.06,1613.75,5.93,11,2018,0.02011244457508088,Slight or No change
238,2018-11-12,1636.85,1698.24,1708.55,1630.01,6.81,11,2018,0.003482163109914893,Slight or No change
239,2018-11-09,1712.43,1732.5,1743.92,1701.87,5.9,11,2018,0.046174053822891636,Slight or No change
240,2018-11-08,1754.91,1755.0,1784.0,1725.11,6.53,11,2018,0.024806853418825936,Slight or No change
241,2018-11-07,1755.49,1673.0,1759.23,1664.08,8.19,11,2018,0.00033050127926781414,Slight or No change
242,2018-11-06,1642.81,1618.35,1665.0,1614.55,4.26,11,2018,-0.06418720699064084,Slight or No change
243,2018-11-05,1627.8,1657.57,1658.09,1596.36,5.62,11,2018,-0.009136783925103975,Slight or No change
244,2018-11-02,1665.53,1678.59,1697.44,1651.83,6.96,11,2018,0.02317852316009339,Slight or No change
245,2018-11-01,1665.53,1623.53,1670.45,1598.44,8.14,11,2018,0.0,Slight or No change
246,2018-10-31,1598.01,1569.99,1623.91,1565.09,9.39,10,2018,-0.04053964803996324,Slight or No change
247,2018-10-30,1530.42,1486.16,1540.99,1476.36,12.46,10,2018,-0.04229635609289051,Slight or No change
