,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
120,2019-05-06,1950.55,1917.98,1959.0,1910.5,5.42,5,2019,0.015382613222280073,Slight or No change
121,2019-05-03,1962.46,1949.0,1964.4,1936.0,6.38,5,2019,0.006105970110994452,Slight or No change
122,2019-05-02,1900.82,1913.33,1921.55,1881.87,3.96,5,2019,-0.031409557392252596,Slight or No change
123,2019-05-01,1911.52,1933.09,1943.64,1910.55,3.12,5,2019,0.005629149524941868,Slight or No change
124,2019-04-30,1926.52,1930.1,1935.71,1906.95,3.51,4,2019,0.007847158282414002,Slight or No change
125,2019-04-29,1938.43,1949.0,1956.34,1934.09,4.02,4,2019,0.006182131511741407,Slight or No change
126,2019-04-26,1950.63,1929.0,1951.0,1898.0,8.43,4,2019,0.006293753192016194,Slight or No change
127,2019-04-25,1902.25,1917.0,1922.45,1900.31,6.1,4,2019,-0.024802243377780586,Slight or No change
128,2019-04-24,1901.75,1925.0,1929.69,1898.16,3.68,4,2019,-0.0002628466289920084,Slight or No change
129,2019-04-23,1923.77,1891.2,1929.26,1889.58,4.64,4,2019,0.011578808991718148,Slight or No change
130,2019-04-22,1887.31,1855.4,1888.42,1845.64,3.37,4,2019,-0.01895236956600843,Slight or No change
131,2019-04-18,1861.69,1868.79,1870.82,1859.48,2.75,4,2019,-0.013574876411400316,Slight or No change
132,2019-04-17,1864.82,1872.99,1876.47,1860.44,2.89,4,2019,0.001681268095117705,Slight or No change
133,2019-04-16,1863.04,1851.35,1869.77,1848.0,3.04,4,2019,-0.0009545157173346253,Slight or No change
134,2019-04-15,1844.87,1842.0,1846.85,1818.9,3.72,4,2019,-0.009752877018206818,Slight or No change
135,2019-04-12,1843.06,1848.4,1851.5,1841.3,3.11,4,2019,-0.0009810989392206038,Slight or No change
136,2019-04-11,1844.07,1848.7,1849.95,1840.31,2.65,4,2019,0.0005480016928369746,Slight or No change
137,2019-04-10,1847.33,1841.0,1848.0,1828.81,2.96,4,2019,0.0017678287700575446,Slight or No change
138,2019-04-09,1835.84,1845.49,1853.09,1831.78,3.71,4,2019,-0.0062197874770615336,Slight or No change
139,2019-04-08,1849.86,1833.23,1850.2,1825.11,3.75,4,2019,0.007636831096391905,Slight or No change
